stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
9021014037185000,Norra Kedum,58.481963,12.899959,1,,
9021014037186000,Marbogården,58.488711,12.911549,1,,
9021014037187000,Storegården,58.493917,12.920678,1,,
9021014037188000,Källstorp,58.503525,12.938767,1,,
9021014037189000,Granhagen,58.502711,12.951276,1,,
9021014037190000,Halvfara,58.502747,12.963701,1,,
9021014037191000,Hästhagen,58.503047,12.981002,1,,
9021014037192000,Skattegården,58.505196,12.991435,1,,
9021014037193000,Örslösa,58.507558,13.004655,1,,
9021014037195000,Månslunda,58.510302,13.022302,1,,
9021014037196000,Höberga,58.510464,13.034585,1,,
9021014037197000,Karlberg,58.511922,13.048924,1,,
9021014037198000,Björnegården,58.515925,13.066456,1,,
9021014037199000,Härebacka,58.518637,13.077159,1,,
9021014037200000,Närebo,58.521578,13.099700,1,,
9021014037201000,Tubbetorpsvägen,58.541729,12.994603,1,,
9021014037202000,Råda kyrka,58.496715,13.090850,1,,
9021014037203000,Kockgården,58.473810,13.138738,1,,
9021014037204000,Mjölnaregården,58.468022,13.143571,1,,
9021014037205000,Flygplatsen,58.461516,13.153377,1,,
9021014037206000,Stommen,58.455502,13.156812,1,,
9021014037208000,Norra Härene,58.438266,13.162099,1,,
9021014037209000,Lovenevägen,58.432342,13.158708,1,,
9021014037210000,Torpa,58.426665,13.161213,1,,
9021014037211000,Flöje,58.420714,13.159109,1,,
9021014037212000,Kättorp,58.411514,13.162756,1,,
9021014037213000,Resville,58.400622,13.160636,1,,
9021014037214000,Sällagården,58.393926,13.154791,1,,
9021014037215000,Kristinedal,58.390548,13.152265,1,,
9021014037216000,Fornbyn,58.385897,13.149343,1,,
9021014037217000,Saleby,58.380587,13.147432,1,,
9021014037218000,Saleby affär,58.373501,13.147564,1,,
9021014037229000,Axtorp,58.469043,13.087722,1,,
9021014037230000,Bostorp,58.459663,13.083397,1,,
9021014037231000,Kampegården,58.453755,13.078816,1,,
9021014037232000,Tomten Lovene,58.439675,13.063119,1,,
9021014037233000,Lovene gård,58.437245,13.056931,1,,
9021014037234000,Lovene station,58.440878,13.047668,1,,
9021014037235000,Slätten,58.418167,13.032419,1,,
9021014037236000,Domö,58.398504,13.015734,1,,
9021014037237000,Bryne,58.390322,12.997956,1,,
9021014037238000,Torstensgården,58.384536,12.989919,1,,
9021014037239000,Parkgatan,58.379997,12.976101,1,,
9021014037241000,Badsjön,58.374812,12.970891,1,,
9021014037242000,Ambjörnsgården,58.369546,12.966833,1,,
9021014037243000,Björksäter,58.480102,13.091323,1,,
9021014037244000,Siggetorp,58.474222,13.069999,1,,
9021014037245000,Mellby Fyrkanten,58.463852,13.040805,1,,
9021014037246000,Roslätt,58.458222,13.032153,1,,
9021014037247000,Mellby kyrka,58.453861,13.023724,1,,
9021014037248000,Mellby,58.450214,13.017930,1,,
9021014037249000,Katrineberg,58.447964,13.007809,1,,
9021014037250000,Bromaden,58.448784,12.986152,1,,
9021014037251000,Gillstad östra,58.444074,12.965533,1,,
9021014037252000,Gillstad,58.440978,12.958344,1,,
9021014037254000,Västergården,58.438671,12.937165,1,,
9021014037255000,Nyhagen,58.434050,12.905932,1,,
9021014037256000,Lavad kyrka,58.425034,12.880487,1,,
9021014037257000,Lavad skola väg 44,58.419364,12.867985,1,,
9021014037259000,Häggesled,58.407659,12.915595,1,,
9021014037261000,Gillstad väg 44,58.441897,12.955156,1,,
9021014037262000,Råda väg 44,58.484596,13.123141,1,,
9021014037267000,Brottarvägen,58.524143,13.113438,1,,
9021014037269000,Stenhammar park,58.534571,13.115763,1,,
9021014037272000,Åsen,58.556704,13.070191,1,,
9021014037274000,Jutegården väg 49,58.463350,13.222798,1,,
9021014037279000,Furuhäll,58.533395,13.121358,1,,
9021014037281000,Lingebackevägen,58.530396,13.115266,1,,
9021014037282000,Fröjdegårdsvägen,58.528861,13.113545,1,,
9021014037287000,Tofta industriområde,58.522147,13.123093,1,,
9021014037288000,Plastgatan,58.518643,13.122456,1,,
9021014037289000,Bäckvägen,58.519019,13.129785,1,,
9021014037291000,Skogsvägen,58.525622,13.127956,1,,
9021014037293000,Skogshyddan,58.530884,13.127161,1,,
9021014037294000,Timmervägen,58.517242,13.131116,1,,
9021014037302000,Missionskyrkan,58.502033,13.152193,1,,
9021014037303000,Ågårdsgatan,58.502984,13.148402,1,,
9021014037304000,Rudenschöldsgatan,58.503843,13.145044,1,,
9021014037305000,De la Gardievägen,58.505325,13.139439,1,,
9021014037306000,Nonnens väg,58.505987,13.136778,1,,
9021014037307000,Lunnelidsvägen,58.506728,13.133958,1,,
9021014037308000,Gränsvägen,58.503991,13.127409,1,,
9021014037311000,Björnvägen,58.495893,13.112396,1,,
9021014037312000,Skattegårdsvägen,58.493894,13.110307,1,,
9021014037313000,Skogsstigen,58.492166,13.107003,1,,
9021014037315000,Bräddegården,58.492821,13.099092,1,,
9021014037317000,Råda skola,58.495368,13.093961,1,,
9021014037318000,Stadsträdgården,58.500794,13.153529,1,,
9021014037320000,Sjukhuset Lidköping,58.499027,13.151854,1,,
9021014037321000,Idrottens hus,58.495350,13.147929,1,,
9021014037322000,Arenan,58.493900,13.145826,1,,
9021014037323000,Ågårdsskogens vårdcentral,58.492899,13.137437,1,,
9021014037324000,Alebäcksgatan,58.490882,13.145796,1,,
9021014037325000,Nylyckegatan,58.487711,13.143356,1,,
9021014037326000,Annelystgatan,58.486178,13.142339,1,,
9021014037329000,Liegatan,58.483905,13.147262,1,,
9021014037330000,Bussgatan,58.482372,13.151871,1,,
9021014037331000,Stubbgatan,58.481266,13.153044,1,,
9021014037332000,Vippgatan,58.480350,13.150553,1,,
9021014037333000,Högatan Majåker,58.477775,13.150140,1,,
9021014037334000,Ladugatan,58.476176,13.147068,1,,
9021014037335000,Nyhemsgatan,58.476439,13.142904,1,,
9021014037336000,Skylgatan,58.478060,13.138822,1,,
9021014037337000,Olofsbergsgatan,58.480479,13.138386,1,,
9021014037338000,Kockgårdsgatan,58.481770,13.138180,1,,
9021014037339000,Majåker,58.478476,13.136554,1,,
9021014037341000,Gamla stadens torg,58.502866,13.161452,1,,
9021014037343000,Stadshuset,58.502083,13.164479,1,,
9021014037344000,Tunnbindaregatan,58.501242,13.167870,1,,
9021014037345000,Husabygatan,58.499953,13.167559,1,,
9021014037347000,Solhaga,58.496934,13.160012,1,,
9021014037348000,Härenegatan,58.493308,13.156478,1,,
9021014037351000,Margretelund,58.494764,13.169031,1,,
9021014037352000,Annagatan,58.490875,13.167844,1,,
9021014037353000,Härjevadsgatan,58.488521,13.171569,1,,
9021014037354000,Östra Margretelund,58.491903,13.181396,1,,
9021014037366000,Campingen,58.513291,13.137421,1,,
9021014037367000,Ågårdsskogen,58.490805,13.139881,1,,
9021014037369000,Kartåsplan,58.499670,13.172276,1,,
9021014037370000,Rudenschöldskolan östra,58.503296,13.150119,1,,
9021014037372000,Dalängskolan,58.507795,13.130777,1,,
9021014037375000,Järpås station,58.379044,12.970340,1,,
9021014037376000,Filsbäck station,58.493179,13.247252,1,,
9021014037377000,Filsbäck väg 44,58.478075,13.235895,1,,
9021014037381000,Östbygatan Guldvingen,58.493622,13.165178,1,,
9021014037384000,Sofiagatan,58.488438,13.179002,1,,
9021014037386000,Framnäs city,58.508274,13.147076,1,,
9021014037387000,Änghagen,58.495999,13.181339,1,,
9021014037390000,Förstadsvägen,58.511802,13.139457,1,,
9021014037392000,Storeberg,58.472596,12.823104,1,,
9021014037394000,Tolsjö norra,58.568278,13.118286,1,,
9021014037396000,Kartåsen,58.490939,13.191980,1,,
9021014037398000,Lilla Svenstorp,58.463540,12.805713,1,,
9021014037399000,Högesten,58.458417,12.797220,1,,
9021014037400000,Frielsberg,58.455385,12.792250,1,,
9021014037401000,Hallebo,58.452729,12.786212,1,,
9021014037402000,Friels kyrka,58.450470,12.778710,1,,
9021014037404000,Stallmästargården,58.439503,12.694946,1,,
9021014037405000,Kansliet,58.440709,12.695536,1,,
9021014037406000,Markan,58.442263,12.701055,1,,
9021014037407000,Brandstationen,58.441612,12.704798,1,,
9021014037408000,F7 vakten,58.436740,12.719285,1,,
9021014037409000,Tun,58.430009,12.736456,1,,
9021014037411000,Karaby,58.410523,12.718309,1,,
9021014037412000,Kroksbo,58.402616,12.715226,1,,
9021014037413000,Källeråsen,58.360918,12.955961,1,,
9021014037414000,Berga,58.343167,13.164017,1,,
9021014037415000,Per Svensgården,58.341565,13.127864,1,,
9021014037416000,Lanna,58.346628,13.128843,1,,
9021014037417000,Erik Larsgården,58.351096,13.130264,1,,
9021014037418000,Lanna skola,58.355567,13.134420,1,,
9021014037427000,Åkerhus,58.426067,13.041397,1,,
9021014037430000,Kleversbergen,58.647642,13.155774,1,,
9021014037431000,Låkälla,58.662491,13.155146,1,,
9021014037432000,Eke,58.670411,13.152417,1,,
9021014037433000,Traneberg,58.662293,13.114208,1,,
9021014037434000,Vänsjö,58.648009,13.139486,1,,
9021014037435000,Senäte,58.634876,13.139564,1,,
9021014037436000,Alebäck,58.475233,13.206473,1,,
9021014037437000,Vigrum,58.451473,13.159628,1,,
9021014037438000,Halmstad,58.448012,13.160734,1,,
9021014037439000,Sörliden,58.422824,12.926635,1,,
9021014037440000,Broholm,58.411300,12.844590,1,,
9021014037441000,Askeslättsvägen,58.502420,13.122584,1,,
9021014037443000,Renvägen,58.499367,13.114716,1,,
9021014037444000,Hagen,58.438814,12.755834,1,,
9021014037445000,Jutegården,58.462778,13.229513,1,,
9021014037448000,Stenhammarskolan,58.533649,13.119661,1,,
9021014037449000,Bergeksvägen,58.536241,13.119969,1,,
9021014037450000,Finnebodavägen,58.539564,13.123605,1,,
9021014037451000,Tuvemossevägen,58.542441,13.126836,1,,
9021014037453000,Rådagatan,58.501947,13.136940,1,,
9021014037455000,Sköldmögatan,58.485305,13.140995,1,,
9021014037456000,Badhuset,58.496629,13.146883,1,,
9021014037457000,Sara Videbäcksgatan,58.506232,13.141931,1,,
9021014037458000,Framnäsvägen,58.507684,13.142936,1,,
9021014037459000,Drömstan,58.508656,13.139314,1,,
9021014037460000,Skogvaktarevägen,58.512396,13.135803,1,,
9021014037461000,Ankaret,58.537094,13.124235,1,,
9021014037462000,Vänerblick,58.535861,13.131499,1,,
9021014037542000,Trestegsgatan,58.498876,13.137669,1,,
9021014037543000,Björkhaga,58.378038,12.970928,1,,
9021014037544000,Lidåkersgatan,58.491640,13.161044,1,,
9021014037546000,Tyskagården,58.362882,13.143215,1,,
9021014037547000,Stafettgatan,58.498352,13.141198,1,,
9021014037550000,Entorpsvägen,58.678551,13.197490,1,,
9021014037551000,Wennerbergskolan,58.499117,13.162472,1,,
9021014037552000,Lidåkerskolan,58.490327,13.158436,1,,
9021014037553000,Sjölunda skola,58.544005,13.129347,1,,
9021014037554000,Sjölunda äng,58.546488,13.137618,1,,
9021014037556000,Lilla Källstorp,58.500757,12.929748,1,,
9021014037557000,Hulan Kållandsö,58.658943,13.123491,1,,
9021014037901000,Lidbeckska huset,58.502807,13.160442,1,,
9021014037999000,Lidköping Depå,58.504584,13.176690,1,,
9021014038000000,Skara busstation,58.383243,13.439059,1,,
9021014038104000,Flämslätt,58.461430,13.679722,1,,
9021014038105000,Björnudden,58.455833,13.665707,1,,
9021014038106000,Remningstorp,58.450977,13.664349,1,,
9021014038115000,Tre bäckar,58.382826,13.673836,1,,
9021014038116000,Ljungstorp väg 49,58.380638,13.683769,1,,
9021014038123000,Storekullen,58.378267,13.719272,1,,
9021014038124000,Rosenlund,58.379042,13.699031,1,,
9021014038125000,Skäggatorp,58.420807,13.347112,1,,
9021014038126000,Hökaslätten,58.410807,13.379316,1,,
9021014038127000,Skattegården,58.408673,13.384652,1,,
9021014038128000,Passagården,58.404214,13.391513,1,,
9021014038130000,Stymne,58.447177,13.442191,1,,
9021014038131000,Myråsen,58.445234,13.447194,1,,
9021014038133000,Kungsängen,58.438835,13.464076,1,,
9021014038136000,Marskaby,58.418664,13.465930,1,,
9021014038145000,Skålltorp,58.398070,13.580833,1,,
9021014038148000,Axvall centrum,58.388534,13.574716,1,,
9021014038149000,Vingsjöbadet,58.386192,13.583825,1,,
9021014038150000,Vallehemmet,58.384772,13.591904,1,,
9021014038151000,Nylund,58.384078,13.602330,1,,
9021014038152000,Ökull,58.385162,13.617818,1,,
9021014038154000,Himmelskällan,58.376798,13.642068,1,,
9021014038155000,Varnhem,58.386682,13.648325,1,,
9021014038161000,Skarpaliden,58.402668,13.598668,1,,
9021014038162000,Skärv,58.407435,13.603322,1,,
9021014038163000,Svenstorp,58.414226,13.608360,1,,
9021014038164000,Sjötuna,58.418465,13.612370,1,,
9021014038165000,Solhagen,58.422319,13.618280,1,,
9021014038166000,Näs,58.424664,13.624181,1,,
9021014038168000,Eggby,58.432477,13.641689,1,,
9021014038169000,Lidängen,58.439669,13.653249,1,,
9021014038172000,Marie kyrkogård,58.384159,13.465034,1,,
9021014038173000,Götala,58.385024,13.478783,1,,
9021014038174000,Örnsrovägen,58.385661,13.493226,1,,
9021014038175000,Tubbetorp,58.387917,13.516411,1,,
9021014038176000,Finnatorp,58.390642,13.527536,1,,
9021014038177000,Varnhem väg 49,58.385365,13.662315,1,,
9021014038178000,Pickagårdsvägen,58.386597,13.642786,1,,
9021014038179000,Domkyrkan,58.386451,13.438421,1,,
9021014038180000,Källeskolan,58.388592,13.444536,1,,
9021014038182000,Katedralskolan Brunsbogatan,58.390765,13.449658,1,,
9021014038187000,Viktoriaskolan,58.386397,13.450945,1,,
9021014038188000,Katedralskolan,58.388744,13.454913,1,,
9021014038194000,Bågen,58.379627,13.447530,1,,
9021014038195000,Dustaregatan,58.378621,13.446822,1,,
9021014038200000,Oxbacken Scan,58.382717,13.429829,1,,
9021014038201000,Valhallagatan,58.383039,13.427489,1,,
9021014038202000,Repslagarestigen,58.383827,13.420732,1,,
9021014038203000,Odalgatan,58.383161,13.416999,1,,
9021014038204000,Lantmannagatan,58.383074,13.412847,1,,
9021014038208000,Tennisbanan,58.388475,13.426169,1,,
9021014038210000,Malmgården,58.390414,13.431916,1,,
9021014038211000,Vårdcentrum entrén,58.391544,13.429574,1,,
9021014038212000,Hindsbogatan,58.385543,13.433210,1,,
9021014038213000,Valhall,58.381713,13.415439,1,,
9021014038222000,Kaplansgatan,58.391388,13.444054,1,,
9021014038225000,Istrum,58.444106,13.613623,1,,
9021014038241000,Sankt Persgatan,58.385038,13.425724,1,,
9021014038244000,Krukmakaregatan,58.384898,13.415792,1,,
9021014038258000,Djurgårdsängen,58.380319,13.443874,1,,
9021014038262000,Botan,58.386198,13.443461,1,,
9021014038276000,Klippan,58.435238,13.467504,1,,
9021014038278000,Axvalla travbana,58.396249,13.563284,1,,
9021014038280000,Västra Gerum,58.349949,13.259122,1,,
9021014038283000,Kålltorp E20,58.349303,13.289195,1,,
9021014038284000,Hagalund väg E20,58.356144,13.333796,1,,
9021014038285000,Ardala,58.360360,13.338162,1,,
9021014038287000,Simmatorp,58.373196,13.385846,1,,
9021014038288000,Blombacka,58.351807,13.334633,1,,
9021014038289000,Hagelsten,58.341777,13.321199,1,,
9021014038290000,Syltan,58.327499,13.315523,1,,
9021014038291000,Nolgården,58.323182,13.313099,1,,
9021014038292000,Östtorp,58.319883,13.310200,1,,
9021014038293000,Vinköl bygdegård,58.323022,13.286179,1,,
9021014038294000,Vinköl,58.325976,13.281357,1,,
9021014038295000,Västtorp,58.323850,13.266911,1,,
9021014038304000,Stenumsvägen,58.340591,13.435304,1,,
9021014038305000,Broke bro,58.332633,13.435416,1,,
9021014038306000,Halleberg,58.328041,13.436729,1,,
9021014038307000,Torpa,58.323363,13.434699,1,,
9021014038308000,Härlunda,58.317687,13.434830,1,,
9021014038309000,Långakrogen,58.312859,13.448529,1,,
9021014038310000,Trestena,58.311498,13.456321,1,,
9021014038311000,Bjärka skola,58.302119,13.468179,1,,
9021014038312000,Bjärka,58.298029,13.470216,1,,
9021014038313000,Dagsnäs,58.284630,13.483347,1,,
9021014038314000,Timmerbacken,58.372514,13.637890,1,,
9021014038315000,Klippeskede,58.361543,13.627476,1,,
9021014038316000,Stora Lycke,58.351400,13.619052,1,,
9021014038317000,Stora Ekeberg,58.398628,13.540943,1,,
9021014038318000,Sommarland,58.401419,13.550239,1,,
9021014038319000,Munkatorp,58.372612,13.413145,1,,
9021014038320000,Norra Lundby,58.375278,13.618324,1,,
9021014038321000,Duvemåla,58.332548,13.316171,1,,
9021014038322000,Marum,58.358995,13.365420,1,,
9021014038324000,Skogsberg,58.358850,13.424822,1,,
9021014038329000,Frejan,58.383958,13.432117,1,,
9021014038330000,Trandansen,58.277170,13.485269,1,,
9021014038333000,Räddningsvägen,58.401259,13.896499,1,,
9021014038335000,Postgården,58.399899,13.591865,1,,
9021014038339000,Vårdcentralen Vilan,58.385542,13.453856,1,,
9021014038340000,Ivar Widéensgatan,58.390945,13.421748,1,,
9021014038342000,Skarabergsrondellen,58.394579,13.451595,1,,
9021014038343000,Vilangatan,58.390226,13.458578,1,,
9021014038344000,Glasbacken,58.383825,13.455231,1,,
9021014038345000,Mynthusgatan,58.382056,13.443370,1,,
9021014038346000,Gällkvistskolan,58.378673,13.442237,1,,
9021014038347000,Sven Grottegatan,58.379277,13.437216,1,,
9021014038348000,Organistgatan,58.380550,13.434783,1,,
9021014038349000,Fokus,58.378721,13.429973,1,,
9021014038350000,Afsengatan,58.377634,13.422616,1,,
9021014038351000,Danielstorpsgatan,58.379055,13.418431,1,,
9021014038352000,Mariebergsskolan,58.386637,13.420606,1,,
9021014038353000,Lilla Hindsboparken,58.389884,13.417279,1,,
9021014038354000,Marie kyrkogård östra,58.384218,13.470693,1,,
9021014038355000,Hospitalsgatan,58.379339,13.413784,1,,
9021014039000000,Hjo busstation,58.305226,14.293486,1,,
9021014039104000,Tjustorp,58.296488,14.058149,1,,
9021014039106000,Hamrum,58.303801,14.085547,1,,
9021014039108000,Fridene kyrka,58.293918,14.050643,1,,
9021014039109000,Brodal,58.290107,14.049142,1,,
9021014039110000,Bosgården,58.287091,14.048217,1,,
9021014039112000,Blikstorp,58.281833,14.057515,1,,
9021014039113000,Karlslund,58.283047,14.037121,1,,
9021014039114000,Kättarp,58.279426,14.028693,1,,
9021014039115000,Fridene,58.275901,14.024561,1,,
